r(24) = .55; BS
r(21) = .45; BS
t(72) = 4.80; BS
F(1, 40) = 5.00; BS
F(1, 48) = 7.46; BS
t(131) = 2.51; BS
t(131) = 2.25; BS
t(29) = 2.17; BS
t(40) = 2.61; BS
t(110) = 6.09; BS
t(94) = 5.12; BS
F(1, 87) = 3.82; BS
F(1, 68) = 7.10; BS
F(1, 71) = 4.83; BS
F(1, 93) = 6.37; BS
F(1, 94) = 4.57; BS
F(1, 101) = 4.84; BS
F(1, 101) = 4.31; BS
F(1, 195) = 10.64; BS
F(1, 58) = 7.88; BS
F(1, 164) = 3.66; BS
F(1, 106) = 6.26; BS
F(1, 148) = 12.22; BS
F(1, 144) = 4.27; BS
F(1, 57) = 4.58; BS
F(1, 74) = 5.58; BS
F(1, 114) = 7.29; BS
F(1, 52) = 4.74; BS
F(1, 177) = 9.62; BS
F(1, 98) = 4.75; BS
F(1, 102) = 9.11; BS
F(1, 210) = 4.43; BS
F(1, 166) = 6.59; BS
F(1, 105) = 8.54; BS
F(1, 136) = 4.03; BS
F(1,40) = 4.75; BS
F(1,33) = 8.88; BS
F(1, 87) = 9.99; BS
F(1, 38) = 8.54; BS
F(1, 64) = 8.61; BS
t(112) = 1.96; BS
t(119) = 3.42; BS
t(44) = 1.85; BS
