"","line","paper_id","study_id","focal","type","df1","df2","d","g","n.approx","statistic","p.value","p.value.one","p.reported","p.crit","significant","one.tailed","reporting.error","error.direction","parse.error","d.reported","d.reported.str","d.reported.lower","d.reported.upper","d.reported.error","d.reported.error.direction","global.reporting.error","p.value.log","d.var","d.se","studydesign","Z","obs.pow","median.obs.pow","ppr","ppl","pp33"
"1",1,".1","",TRUE,"r",24,NA,0.29088723694137,1.2755127414112,26,0.55,0.00360407531761852,0.00180203765880926,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-5.62569004111409,0.229390681003584,0.4789474720714,1,2.91088422817956,0.82917756772308,0.82917756772308,0.0720815063523705,0.927918493647629,0.782466903131448
"2",2,".2","",TRUE,"r",21,NA,0.279751442472094,0.971379778043892,23,0.45,0.0311965812500361,0.0155982906250181,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.46744676548987,0.227985180963237,0.477477937671718,1,2.15455617969051,0.577143893186187,0.577143893186187,0.623931625000722,0.376068374999278,0.217796977829189
"3",3,".3","",TRUE,"t",72,NA,0.509371631973611,1.10462840992093,74,4.8,8.35717690715014e-06,4.17858845357507e-06,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-11.6923898784302,0.0708838568298028,0.266240223914049,1,4.45582350015752,0.993717382306396,0.993717382306396,0.000167143538143399,0.999832856461857,0.99613676861413
"4",4,".4","",TRUE,"f",1,40,0.690065559342354,0.677669172048779,42,5,0.0309924607128595,0.0154962303564298,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.47401130688657,0.106575963718821,0.32645974287624,1,2.15716949070589,0.578166639034966,0.578166639034966,0.619849214257191,0.380150785742809,0.213926089890086
"5",5,".5","",TRUE,"f",1,48,0.772528316633119,0.760882161105986,50,7.46,0.00879913945031573,0.00439956972515787,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-4.73310135201655,0.091936,0.303209498531956,1,2.61976106247763,0.745307970624029,0.745307970624029,0.175982789006315,0.824017210993685,0.604610782657955
"6",6,".6","",TRUE,"t",131,NA,0.274752109736233,0.432829943657599,133,2.51,0.0132910922918141,0.00664554614590705,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-4.320661220634,0.0314998247498445,0.17748189978092,1,2.47587279602212,0.697040950212269,0.697040950212269,0.265821845836283,0.734178154163717,0.491182666588346
"7",7,".7","",TRUE,"t",131,NA,0.260132990857236,0.387994969414183,133,2.25,0.0261168387751227,0.0130584193875613,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.64517500888438,0.0312199672112612,0.176691729323308,1,2.22446999974079,0.604304984819912,0.604304984819912,0.522336775502454,0.477663224497546,0.273980322296265
"8",8,".8","",TRUE,"t",29,NA,0.529150262212918,0.760475132484101,31,2.17,0.0383397639770765,0.0191698819885383,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-3.26126769743271,0.148632258064516,0.38552854377402,1,2.07120370007826,0.544286870697626,0.544286870697626,0.766795279541528,0.233204720458472,0.125039608609917
"9",9,".9","",TRUE,"t",40,NA,0.49856938190329,0.790994082847591,42,2.61,0.0126787848554428,0.00633939242772139,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-4.36782516615488,0.110685034013605,0.332693603806273,1,2.49266656165906,0.702880259048569,0.702880259048569,0.253575697108857,0.746424302891143,0.515629960683949
"10",10,".10","",TRUE,"t",110,NA,0.466368952654441,1.1431776470224,112,6.09,1.69209997088078e-08,8.46049985440388e-09,"",0.05,TRUE,FALSE,NA,"",FALSE,NA,"",NA,NA,NA,"",FALSE,-17.8947104000688,0.0475408482142857,0.21803863926902,1,5.64085277918162,0.999883788818096,0.999883788818096,1e-05,0.99999,0.999961882529907
